listing_id,host_name,last_review,price,nbhood_full,monthly_price,description,room_type,borough,price_range,labels
34022186,Leonard,2019-07-01,99.0,"Manhattan, Lower East Side",2970.0,Beautiful Room in Chic Area!,private room,Manhattan,$70-175,Average
34022664,Parrish,2019-06-30,50.0,"Brooklyn, East Flatbush",1500.0,Couch surfing at the sanctuary,shared room,Brooklyn,$0-69,Budget
34022740,Melissa,2019-06-23,57.0,"Brooklyn, Brownsville",1710.0,Safari in Brooklyn!,private room,Brooklyn,$0-69,Budget
34023411,Ella,2019-04-21,200.0,"Brooklyn, Gravesend",6000.0,2 beautiful bedroom apt .with 2 main subway line,entire home/apt,Brooklyn,$176-350,Expensive
34023619,Andrew,2019-06-20,130.0,"Manhattan, Upper East Side",3900.0,Entire Apartment With Space For Two,entire home/apt,Manhattan,$70-175,Average
34024785,Leonard,2019-07-05,119.0,"Manhattan, Lower East Side",3570.0,Beautiful Bright Private Room!,private room,Manhattan,$70-175,Average
34029489,Aleksey,2019-05-10,500.0,"Manhattan, Hell's Kitchen",15000.0,Private Bedroom in Amazing Location! Times Square!,private room,Manhattan,>$350,Extravagant
34029837,Aleksey,2019-05-11,500.0,"Manhattan, Hell's Kitchen",15000.0,Amazing Times Square Location! Private BR in Loft!,private room,Manhattan,>$350,Extravagant
34032088,Shane,2019-06-30,125.0,"Queens, Astoria",3750.0,Private room- Astoria Modern,private room,Queens,$70-175,Average
34032390,John,2019-05-18,65.0,"Brooklyn, East New York",1950.0,Crash pad #2,private room,Brooklyn,$0-69,Budget
34034553,Irina,2019-05-06,150.0,"Manhattan, Upper East Side",4500.0,Beautiful little apartment on the Upper East Side,entire home/apt,Manhattan,$70-175,Average
34035431,Alena,2019-06-23,60.0,"Brooklyn, Sheepshead Bay",1800.0,"Private Room by Emmons, beaches. B, Q trains.",private room,Brooklyn,$0-69,Budget
34035571,Florent,2019-06-08,75.0,"Brooklyn, Williamsburg",2250.0,Beautiful Place in the Heart of Williamsburg,private room,Brooklyn,$70-175,Average
34036011,Lee,2019-06-14,130.0,"Manhattan, East Village",3900.0,Charming East Village Penthouse Studio Apartment,entire home/apt,Manhattan,$70-175,Average
34036136,Ilona,2019-06-12,100.0,"Brooklyn, Gowanus",3000.0,Excellent chill spot in gowanus,private room,Brooklyn,$70-175,Average
34036333,Gus,2019-07-03,100.0,"Brooklyn, Williamsburg",3000.0,Flamingo Paradiso East,entire home/apt,Brooklyn,$70-175,Average
34037737,Ash,2019-05-26,200.0,"Manhattan, Hell's Kitchen",6000.0,Ash’s Place in Hell’s Kitchen,entire home/apt,Manhattan,$176-350,Expensive
34038559,Claire,2019-06-30,130.0,"Manhattan, Upper East Side",3900.0,Gorgeous Apt on the Upper East Side,private room,Manhattan,$70-175,Average
34039045,John,2019-06-10,95.0,"Brooklyn, Crown Heights",2850.0,Modern Brick Exposed Brooklyn Apartment!,entire home/apt,Brooklyn,$70-175,Average
34039320,Soledad,2019-06-30,111.0,"Queens, Briarwood",3330.0,Quiet and clean apartment in nyc,entire home/apt,Queens,$70-175,Average
34040037,Sophia,2019-06-15,200.0,"Brooklyn, Bay Ridge",6000.0,"Bay Ridge is rated Convenient, safe neighborhood",entire home/apt,Brooklyn,$176-350,Expensive
34040940,Roger,2019-05-19,149.0,"Manhattan, Kips Bay",4470.0,"Bright, Light & Airy 1 Bedroom in Kips Bay",entire home/apt,Manhattan,$70-175,Average
34041523,Hank,2019-06-18,140.0,"Manhattan, Harlem",4200.0,Master Room in Harlem Duplex,private room,Manhattan,$70-175,Average
34041587,Hank,2019-07-01,140.0,"Manhattan, Harlem",4200.0,The Power Tower,private room,Manhattan,$70-175,Average
34042173,Leanna,2019-07-01,60.0,"Queens, Richmond Hill",1800.0,"Peaceful, fully equipped, home away from home!",private room,Queens,$0-69,Budget
34042443,Evan,2019-05-04,49.0,"Manhattan, Washington Heights",1470.0,Cute Private Room in Washington Heights,private room,Manhattan,$0-69,Budget
34042658,Jack,2019-07-01,195.0,"Manhattan, Chelsea",5850.0,Luxury Condo Steps Away From Hudson Yards NYC,entire home/apt,Manhattan,$176-350,Expensive
34042777,Waly,2019-05-05,78.0,"Manhattan, Harlem",2340.0,Comfortable Room in NYC in Harlem area,private room,Manhattan,$70-175,Average
34043476,Olivia,2019-07-05,140.0,"Brooklyn, Flatbush",4200.0,Bohemian Artist’s Studio in Victorian Neighborhood,entire home/apt,Brooklyn,$70-175,Average
34047149,Jodi,2019-06-25,140.0,"Brooklyn, Prospect Heights",4200.0,1 bedroom in North Slope with Queen bed & futon,entire home/apt,Brooklyn,$70-175,Average
34051551,Lynn L,2019-06-09,45.0,"Queens, Richmond Hill",1350.0,"靠近机场,交通购物两便利大房间#1",private room,Queens,$0-69,Budget
34054250,Jeff,2019-06-25,70.0,"Brooklyn, Greenpoint",2100.0,Clean and spacious room in charming Greenpoint,private room,Brooklyn,$70-175,Average
34056679,David,2019-06-30,90.0,"Manhattan, East Harlem",2700.0,Spanish Harlem magical place. Mezzanine bed,private room,Manhattan,$70-175,Average
34057129,Jarrod,2019-07-01,170.0,"Brooklyn, Williamsburg",5100.0,Large one of a kind designer loft in Williamsburg!,entire home/apt,Brooklyn,$70-175,Average
34059500,Majsan,2019-06-11,59.0,"Manhattan, Washington Heights",1770.0,Big room prime location WaHe uptown manhattan,private room,Manhattan,$0-69,Budget
34060242,Marika,2019-06-10,365.0,"Manhattan, Financial District",10950.0,Luxe Sunny Scandinavian Loft in Downtown NYC,entire home/apt,Manhattan,>$350,Extravagant
34061088,Maya,2019-06-26,208.0,"Manhattan, Financial District",6240.0,"Bright, Spacious Studio near Water in Lux Highrise",entire home/apt,Manhattan,$176-350,Expensive
34061159,Anna,2019-07-05,75.0,"Brooklyn, Brighton Beach",2250.0,Luxury pad by the beach,private room,Brooklyn,$70-175,Average
34061253,Adolfo,2019-06-23,150.0,"Manhattan, Hell's Kitchen",4500.0,"Better Than A Hotel Room, Times Sq. Hell's Kitchen",entire home/apt,Manhattan,$70-175,Average
34061588,Ellen,2019-06-24,135.0,"Manhattan, Chinatown",4050.0,Ideal Studio - Top Prime Location,entire home/apt,Manhattan,$70-175,Average
34062194,Yoz,2019-05-09,210.0,"Manhattan, East Village",6300.0,East Village Dream Apartment - Best Rooftop View,entire home/apt,Manhattan,$176-350,Expensive
34062487,Sasan,2019-06-29,44.0,"Queens, Ridgewood",1320.0,Clean and Quiet room,private room,Queens,$0-69,Budget
34062876,Marta,2019-07-01,79.0,"Brooklyn, Williamsburg",2370.0,Awesome Room in Beautiful Williamsburg Loft,private room,Brooklyn,$70-175,Average
34063075,Clark,2019-06-21,60.0,"Manhattan, Washington Heights",1800.0,"Spacious Bedroom in Washington Heights, Manhattan",private room,Manhattan,$0-69,Budget
34063202,Denise,2019-06-26,75.0,"Brooklyn, Bushwick",2250.0,Bright & clean space in lively Bushwick!,private room,Brooklyn,$70-175,Average
34063821,Johnnie,2019-05-19,75.0,"Brooklyn, Bedford-Stuyvesant",2250.0,Bedroom in the Heart of Brooklyn,private room,Brooklyn,$70-175,Average
34065052,Isa  &  Bruno,2019-07-01,75.0,"Queens, Ridgewood",2250.0,Spacious & Awesome Room in Brooklyn!,private room,Queens,$70-175,Average
34065601,Isa  &  Bruno,2019-06-25,75.0,"Queens, Ridgewood",2250.0,Spacious & Modern Room in a Prime Location!,private room,Queens,$70-175,Average
34065608,Isa  &  Bruno,2019-07-07,75.0,"Queens, Ridgewood",2250.0,New Apartment & Newly Furnished in Prime Location!,private room,Queens,$70-175,Average
34067204,Alisa,2019-05-24,60.0,"Brooklyn, Williamsburg",1800.0,Cosy bedroom in Williamsburg,private room,Brooklyn,$0-69,Budget
34068735,Yorick,2019-06-17,250.0,"Manhattan, East Village",7500.0,Perfect 2 Bedroom Apartment in Hot Spot,entire home/apt,Manhattan,$176-350,Expensive
34071098,Kim,2019-05-23,149.0,"Manhattan, Hell's Kitchen",4470.0,3BR Times Square! Great Location! W/D!,entire home/apt,Manhattan,$70-175,Average
34079720,Tiffany,2019-07-01,130.0,"Brooklyn, Williamsburg",3900.0,Rare find!! Stylish duplex top floor all yours!,private room,Brooklyn,$70-175,Average
34081178,Bassema,2019-06-30,190.0,"Manhattan, Hell's Kitchen",5700.0,Central Park-Time Square-All Major Subways,entire home/apt,Manhattan,$176-350,Expensive
34082053,Rosa,2019-06-16,90.0,"Brooklyn, Prospect-Lefferts Gardens",2700.0,Large basement-level studio,entire home/apt,Brooklyn,$70-175,Average
34082442,Christopher,2019-06-24,69.0,"Queens, Ridgewood",2070.0,Beautiful Clean & Quiet Room! Rm#3,private room,Queens,$0-69,Budget
34082709,Oleg,2019-05-09,945.0,"Manhattan, Hell's Kitchen",28350.0,Extra Luxury Loft with private elevator & terrace,entire home/apt,Manhattan,>$350,Extravagant
34083914,Matt,2019-06-12,155.0,"Manhattan, Chinatown",4650.0,"PERFECT LOCATION, LUSH AND CHIC DOWNTOWN ROOM",private room,Manhattan,$70-175,Average
34084341,Mike,2019-06-28,450.0,"Manhattan, Upper West Side",13500.0,Boutique 4 Bedroom/2 Bath Home by Central Park,entire home/apt,Manhattan,>$350,Extravagant
34084476,Jamie,2019-06-06,178.0,"Manhattan, Kips Bay",5340.0,Cozy Studio in Gramercy with Private Backyard,entire home/apt,Manhattan,$176-350,Expensive
34085029,Mohammed,2019-05-19,40.0,"Brooklyn, East Flatbush",1200.0,211 east34 st  Room 6,private room,Brooklyn,$0-69,Budget
34085087,David,2019-06-14,690.0,"Manhattan, Kips Bay",20700.0,Huge Townhouse in New York City,entire home/apt,Manhattan,>$350,Extravagant
34085654,Gretchen,2019-06-23,250.0,"Brooklyn, Park Slope",7500.0,The Library,entire home/apt,Brooklyn,$176-350,Expensive
34085766,Mohammed,2019-05-18,35.0,"Brooklyn, East Flatbush",1050.0,211 east 34 Room 7,private room,Brooklyn,$0-69,Budget
34085929,Mohammed,2019-06-28,35.0,"Brooklyn, East Flatbush",1050.0,211 East 34 St Room 8 (10 by 12),private room,Brooklyn,$0-69,Budget
34086188,Forest,2019-06-06,45.0,"Manhattan, Harlem",1350.0,Cozy room in Harlem next to 2/3 train,private room,Manhattan,$0-69,Budget
34086213,Matt,2019-06-02,295.0,"Brooklyn, Williamsburg",8850.0,"Spacious, Bright BK Two-Bed with Vintage Flare",entire home/apt,Brooklyn,$176-350,Expensive
34086656,Sonder (Nyc),2019-06-17,244.0,"Manhattan, Financial District",7320.0,Sonder | Stock Exchange | Gorgeous 1BR + Sofa Bed,entire home/apt,Manhattan,$176-350,Expensive
34086800,Sonder (Nyc),2019-06-19,409.0,"Manhattan, Financial District",12270.0,Sonder | Stock Exchange | Divine 2BR + Kitchen,entire home/apt,Manhattan,>$350,Extravagant
34086944,Sonder (Nyc),2019-06-07,185.0,"Manhattan, Financial District",5550.0,Sonder | Stock Exchange | Original 1BR + Laundry,entire home/apt,Manhattan,$176-350,Expensive
34087090,Sonder (Nyc),2019-06-18,230.0,"Manhattan, Financial District",6900.0,Sonder | Stock Exchange | Gorgeous 1BR + Kitchen,entire home/apt,Manhattan,$176-350,Expensive
34088667,Balwinder,2019-07-05,78.0,"Queens, Richmond Hill",2340.0,"One master bedroom near Q10,Q24 BUS STOP, A train",private room,Queens,$70-175,Average
34088861,Theo,2019-07-05,105.0,"Brooklyn, Flatbush",3150.0,Quiet Studio Apartment Near Prospect Park + Subway,entire home/apt,Brooklyn,$70-175,Average
34088961,Amber,2019-06-05,165.0,"Manhattan, Stuyvesant Town",4950.0,14th Street Oasis,private room,Manhattan,$70-175,Average
34089853,Angela,2019-07-07,28.0,"Brooklyn, East Flatbush",840.0,Quaint And Cozy Stop Over,private room,Brooklyn,$0-69,Budget
34090389,Michael,2019-06-11,225.0,"Manhattan, Midtown",6750.0,Iconic New York penthouse with wraparound terrace,entire home/apt,Manhattan,$176-350,Expensive
34090662,Linda,2019-07-02,54.0,"Brooklyn, Bedford-Stuyvesant",1620.0,BedStuy Private Room (M1),private room,Brooklyn,$0-69,Budget
